source,target,value
AZ,Notre Dame Fighting Irish,1
Abbotsford,BC,1
Alameda,CA,1
Anaheim,CA,1
Atlanta,GA,1
BC,Notre Dame Fighting Irish,1
Battle Creek,MI,1
Belleville,MI,1
Belton,TX,1
Boca Raton,FL,1
Bolingbrook,IL,2
Brookline,NH,1
Brooklyn,NY,1
Buford,GA,1
CA,Notre Dame Fighting Irish,11
CT,Notre Dame Fighting Irish,1
Carmel,IN,1
Carrollton,GA,1
Cary,IL,1
Cary,NC,1
Casa Grande,AZ,1
Cedar Hill,TX,1
Charlotte,NC,2
Chesterfield,MO,1
Cincinnati,OH,2
Clearwater,FL,1
Cleveland,OH,2
Coppell,TX,1
Corona,CA,1
Crete,IL,1
Cypress,TX,1
DC,Notre Dame Fighting Irish,1
Dallas,TX,1
Darien,IL,1
Dayton,OH,2
Deland,FL,1
Demarest,NJ,1
Desoto,TX,1
Detroit,MI,1
Dyersville,IA,1
El Dorado Hills,CA,1
Elkton,MD,1
Ewa Beach,HI,1
FL,Notre Dame Fighting Irish,9
Fort Wayne,IN,2
Frankfort,IL,1
GA,Notre Dame Fighting Irish,3
Granada Hills,CA,1
Greer,SC,1
HI,Notre Dame Fighting Irish,2
Hamden,CT,1
Hampton,VA,1
Hinsdale,IL,2
Holmdel,NJ,1
IA,Notre Dame Fighting Irish,2
IL,Notre Dame Fighting Irish,14
IN,Notre Dame Fighting Irish,6
Indianapolis,IN,3
Jacksonville,FL,1
KS,Notre Dame Fighting Irish,2
KY,Notre Dame Fighting Irish,1
Katy,TX,1
LA,Notre Dame Fighting Irish,2
LINCOLN,NE,1
Laie,HI,1
Lake Barrington,IL,1
Lake Forest,IL,1
Lakewood,OH,1
Las Vegas,NV,2
Lee's Summit,MO,1
MD,Notre Dame Fighting Irish,3
MI,Notre Dame Fighting Irish,5
MO,Notre Dame Fighting Irish,2
Memphis,TN,1
Midlothian,IL,1
Mission,KS,1
NC,Notre Dame Fighting Irish,3
NE,Notre Dame Fighting Irish,1
NH,Notre Dame Fighting Irish,1
NJ,Notre Dame Fighting Irish,4
NV,Notre Dame Fighting Irish,2
NY,Notre Dame Fighting Irish,3
Nashville,TN,2
Newport Beach,CA,1
Niles,MI,1
Norfolk,VA,1
Norwalk,CA,1
OH,Notre Dame Fighting Irish,8
Ocoee,FL,1
Olney,MD,1
Orlando,FL,1
Overland Park,KS,1
Owensboro,KY,1
PA,Notre Dame Fighting Irish,6
Palm Beach Gardens,FL,1
Philadelphia,PA,1
Pittsburgh,PA,3
Pompano Beach,FL,1
Rancho Santa Margarita,CA,1
Rapid City,SD,1
Richmond,VA,1
Riverdale,MD,1
Riviera Beach,FL,1
Rochester,NY,1
Rock Island,IL,1
SC,Notre Dame Fighting Irish,1
SD,Notre Dame Fighting Irish,1
Saint Rose,LA,1
San Diego,CA,2
Shreveport,LA,1
Staten Island,NY,1
TN,Notre Dame Fighting Irish,3
TX,Notre Dame Fighting Irish,7
Teaneck,NJ,1
Tinley Park,IL,1
VA,Notre Dame Fighting Irish,3
Vancouver,WA,1
WA,Notre Dame Fighting Irish,1
Warren,NJ,1
Warrington,PA,1
Washington,DC,1
West Bloomfield,MI,1
West Des Moines,IA,1
Westchester,CA,1
Westchester,IL,1
Wexford,PA,1
Youngstown,OH,1
